Date,Sales,Marketing_Spend,Holiday_Flag
2024-01-01,12500,3000,1
2024-01-02,11200,2800,0
2024-01-03,10800,2700,0
2024-01-04,11500,2900,0
2024-01-05,12200,3100,0
2024-01-06,13500,3500,1
2024-01-07,12800,3200,0
2024-01-08,11800,2900,0
2024-01-09,11000,2600,0
2024-01-10,10500,2500,0
2024-01-11,12000,3000,0
2024-01-12,13200,3400,1
2024-01-13,12500,3100,0
2024-01-14,11800,2800,0
2024-01-15,11500,2700,0
2024-01-16,12200,2900,0
2024-01-17,13000,3300,1
2024-01-18,12800,3200,0
2024-01-19,12000,3000,0
2024-01-20,11500,2800,0
2024-01-21,11000,2600,0
2024-01-22,12500,3100,0
2024-01-23,13500,3500,1
2024-01-24,13000,3300,0
2024-01-25,12200,3000,0
2024-01-26,11800,2800,0
2024-01-27,11500,2700,0
2024-01-28,12800,3200,0
2024-01-29,14000,3600,1
2024-01-30,13500,3400,0
